observed_at_utc,health_ok,health_status,stats_ok,sources_total,sources_enabled,articles_total,reports_total,alert_rules_total,alert_rules_enabled,alert_events_total,default_queue,ingest_queue,error
2026-05-23T04:29:10.960082+00:00,True,healthy,True,567,276,4591,4069,1,1,2969,688,0,
2026-05-23T04:30:32.054736+00:00,True,healthy,True,567,276,4591,4069,1,1,2969,688,0,
2026-05-23T04:31:53.134751+00:00,True,healthy,True,567,276,4591,4069,1,1,2969,690,0,
2026-05-23T04:33:14.195639+00:00,True,healthy,True,567,276,4591,4069,1,1,2969,708,0,
2026-05-23T04:34:35.264033+00:00,True,healthy,True,567,276,4766,4069,1,1,2969,889,0,
2026-05-23T04:35:56.327094+00:00,True,healthy,True,567,276,4818,4069,1,1,2969,890,0,
2026-05-23T04:37:17.402636+00:00,True,healthy,True,567,276,5142,4069,1,1,2969,1177,0,
2026-05-23T04:38:38.469656+00:00,True,healthy,True,567,276,5286,4069,1,1,2969,1289,0,
2026-05-23T04:39:59.532481+00:00,True,healthy,True,567,276,5286,4069,1,1,2969,1266,0,
2026-05-23T04:41:20.597321+00:00,True,healthy,True,567,276,5286,4069,1,1,2969,1264,0,
2026-05-23T04:42:41.672289+00:00,True,healthy,True,567,276,5288,4239,1,1,3091,859,0,
2026-05-23T04:44:02.753411+00:00,True,healthy,True,567,276,5288,4706,1,1,3384,411,0,
2026-05-23T04:45:23.854992+00:00,True,healthy,True,567,276,5306,5140,1,1,3735,537,0,
2026-05-23T04:46:44.929990+00:00,True,healthy,True,567,276,5306,5142,1,1,3737,534,0,
2026-05-23T04:48:06.005855+00:00,True,healthy,True,567,276,5306,5142,1,1,3737,534,0,
2026-05-23T04:49:27.056734+00:00,True,healthy,True,567,276,5348,5142,1,1,3737,553,0,
2026-05-23T04:50:48.131324+00:00,True,healthy,True,567,276,5348,5142,1,1,3737,555,0,
2026-05-23T04:52:09.209690+00:00,True,healthy,True,567,276,5348,5142,1,1,3737,552,0,
2026-05-23T04:53:30.293253+00:00,True,healthy,True,567,276,5348,5142,1,1,3737,552,0,
2026-05-23T04:54:51.383310+00:00,True,healthy,True,567,276,5348,5142,1,1,3737,548,0,
2026-05-23T04:56:12.455652+00:00,True,healthy,True,567,276,5348,5142,1,1,3737,644,0,
2026-05-23T04:57:33.529352+00:00,True,healthy,True,567,276,5348,5160,1,1,3743,654,0,
2026-05-23T04:58:54.593975+00:00,True,healthy,True,567,276,5348,5160,1,1,3743,654,0,
2026-05-23T05:00:15.663627+00:00,True,healthy,True,567,276,5348,5160,1,1,3743,612,0,
2026-05-23T05:01:36.737316+00:00,True,healthy,True,567,276,5348,5202,1,1,3773,575,0,
2026-05-23T05:02:57.806582+00:00,True,healthy,True,567,276,5348,5202,1,1,3773,720,0,
2026-05-23T05:04:18.872500+00:00,True,healthy,True,567,276,5348,5202,1,1,3773,863,0,
2026-05-23T05:05:39.934344+00:00,True,healthy,True,567,276,5355,5202,1,1,3773,816,0,
2026-05-23T05:07:01.017324+00:00,True,healthy,True,567,276,5355,5202,1,1,3773,789,0,
2026-05-23T05:08:22.087313+00:00,True,healthy,True,567,276,5355,5202,1,1,3773,789,0,
